nom,circonscription,nuance,etiquette,sortant,d_naissance,age,mandats,profession,photo,lien,ordre,nombis
Hendrik Davi,1305,NUPES,LFI,non,21/12/1977,44,"Candidat titulaire aux élections législatives de 2017, co-anime le livret sur l'«Enseignement supérieur et la recherche »",Chercheur en écologie à l'INRA,https://drive.google.com/file/d/15WveBNCsmmQxoJbA9bbXxfOmh3jOU7tx/view?usp=sharing,,1,Hendrik Davi
Thibaud Rosique,1301,NUPES,PS,non,07/05/1996,26,Conseiller des 11/12,Professeur des écoles,https://drive.google.com/file/d/1BsAeOy7sm699nwmurGpuX_-3wSUEn9Rt/view?usp=sharing,,1,Thibaud Rosique
Alexandre Rupnik,1302,NUPES,EELV,non,22/04/1994,28,Conseiller des 6/8,"Elève, étudiant",https://drive.google.com/file/d/1lYNmrY0R9FrGn6XZCEmUR-LzRUD7r3o3/view?usp=sharing,,1,Alexandre Rupnik
Pierre Dharréville,1313,NUPES,PC,oui,15/06/1975,46,Conseiller municipal de Martigues,"Journaliste, écrivain",https://drive.google.com/file/d/19AUguWA05zSXOj6Zdd11HL0yrYpnzBxq/view?usp=sharing,,1,Pierre Dharréville
Christophe Caillault,1316,NUPES,PS,non,28/10/1966,55,Conseiller municipal de Miramas,Cadre de la fonction publique,https://drive.google.com/file/d/1n4XRdCCDoZdvOF4XNPtZ8Cew9HPeLa80/view?usp=sharing,,1,Christophe Caillault
Manuel Bompard,1304,NUPES,LFI,non,30/03/1986,36,Député européen,"Ingénieur de recherche dans l'aéronautique, directeur de campagne LFI",https://drive.google.com/file/d/1XIcT4y6K8-IB7fyN2rmLW-Ps9-VQxvlG/view?usp=sharing,,1,Manuel Bompard
Mohamed Bensaada,1303,NUPES,LFI,non,08/10/1968,53,Pas d'autre mandat connu,Manipulateur radio,https://drive.google.com/file/d/126-yTV9t8IxI03Fu9CxDzg65LHNqr38m/view?usp=sharing,,1,Mohamed Bensaada
Magali Holagne,1306,NUPES,PS,non,22/07/1987,34,Pas d'autre mandat connu,archéologue,https://drive.google.com/file/d/121mOSpOcmvHjHS9qRlb1JHTt01K22IoY/view?usp=sharing,,1,Magali Holagne
Sébastien Delogu,1307,NUPES,LFI,non,08/06/1987,34,Pas d'autre mandat connu,Ex-chauffeur de taxi,https://drive.google.com/file/d/1PutBPTIbIiFRHPSIt64ymsNkFOLNYfQb/view?usp=sharing,,1,Sébastien Delogu
Eric Deligny,1308,NUPES,LFI,non,26/10/1967,54,Pas d'autre mandat connu,Technicien de maintenance,https://drive.google.com/file/d/14iax0iGkPRo9gTgJmiuPSF4P2O5NbctS/view?usp=sharing,,1,Eric Deligny
Lucas Trottmann,1309,NUPES,LFI,non,21/04/1992,30,Pas d'autre mandat connu,Collaborateur de Manuel Bompard au parlement européen,https://drive.google.com/file/d/1HtAfSs0MrWmmFT3UndkLwI6xinzo-Fo2/view?usp=sharing,,1,Lucas Trottmann
Marina Mesure,1310,NUPES,LFI,non,12/07/1989,32,Pas d'autre mandat connu,"Conseillère sociale d’une organisation syndicale européenne, attachée parlementaire des députées européens LFI.",https://drive.google.com/file/d/1e4g-pD_yRNaSw2m8thAXN4rNiadM8e2F/view?usp=sharing,,1,Marina Mesure
Stéphane Salord,1311,NUPES,Génération ecologie,non,26/01/1969,53,Pas d'autre mandat connu,Dirigeant fondateur des écoles de design ESDAC ; Administrateur groupe Crédit Coopératif,https://drive.google.com/file/d/1NWYR-LZeJZl0nysbVCO4dl6FMzjpN-Aw/view?usp=sharing,,1,Stéphane Salord
Isabelle Chauvin,1312,NUPES,LFI,non,20/01/1971,51,Pas d'autre mandat connu,Professeure de lettre-histoire,https://drive.google.com/file/d/1DR67GoHmimVxo_FrEfxeKaxwtoxh0EEe/view?usp=sharing,,1,Isabelle Chauvin
Hélène Le Cacheux,1314,NUPES,LFI,non,16/06/1966,55,Pas d'autre mandat connu,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1u-UshPxz2nxIZ6bv8BfAjS4pMMCihoQJ/view?usp=sharing,,1,Hélène Le Cacheux
Michèle Jung,1315,NUPES,LFI,non,18/01/1957,65,Pas d'autre mandat connu,Cadre de la fonction publique,https://drive.google.com/file/d/1tL4ID821EZL0Px6Ykova2IWc2sCd2TKc/view?usp=sharing,,1,Michèle Jung
Marie-Laurence Anzalone,1315,Ensemble,Renaissance,non,28/05/1970,51,Adjointe de Châteaurenard en charge du développement durable et de la transition écologique,Employé administratif d'entreprise,https://drive.google.com/file/d/1z9PJ2ZVbrxRQie0WPAAFeCxEaZD39nFU/view?usp=sharing,,2,Marie-Laurence Anzalone
Thierry Boissin,1313,Ensemble,Renaissance,non,17/11/1964,57,Conseiller municipal de Martigues,"Psychologue, dirigeant de PME",https://drive.google.com/file/d/1aofI3UYgHYTQnvEQQnyZK2VhJBUcJ5RF/view?usp=sharing,,2,Thierry Boissin
Bertrand Mas-Fraissinet,1309,Ensemble,Renaissance,non,18/10/1973,48,Conseiller régional & Conseiller municipal de Cassis,Médecin anesthésiste,https://drive.google.com/file/d/14GZZ2A7b3apY0rhn_DbKs0LBUPckL33j/view?usp=sharing,,2,Bertrand Mas-Fraissinet
Anne-Laurence Petel,1314,Ensemble,Renaissance,oui,08/02/1970,52,Conseillère municipale d'Aix-en-Provence,Chargée des relations extérieures - secteur télécom,https://drive.google.com/file/d/1fdoM_X7csHPpg89s_qtoCJz3o0S3MRUl/view?usp=sharing,,2,Anne-Laurence Petel
Sabrina Agresti Roubache,1301,Ensemble,Renaissance,non,13/10/1976,45,Conseillère régionale,Productrice audiovisuelle,https://drive.google.com/file/d/1KoGuxpcqHNHOUU0Wk8Lqt3JGALpZ4xMs/view?usp=sharing,,2,Sabrina Agresti Roubache
Lionel Royer-Perreaut,1306,Ensemble,ex-LR,non,13/11/1972,49,"Vice-président du conseil départemental, président de 13 Habitat et de la Soleam, vice-président du conseil de territoire Marseille-Provence, maire des 9/10",Cadre de la fonction publique,https://drive.google.com/file/d/15tkUkrVjYT-8S0zw8YArmYjYK3NoUXal/view?usp=sharing,,2,Lionel Royer-Perreaut
Claire Pitollat,1302,Ensemble,Renaissance,oui,17/09/1979,42,Pas d'autre mandat connu,Ingénieure,https://drive.google.com/file/d/1R5ttuLciui-S3XvJhiKZaS8OokMs4IsW/view?usp=sharing,,2,Claire Pitollat
Alexandra Louis,1303,Ensemble,Horizons,oui,17/09/1983,38,Pas d'autre mandat connu,Avocate,https://drive.google.com/file/d/1W6R-90Dt3Zd1BBEUMvuTzNivkzebLVxx/view?usp=sharing,,2,Alexandra Louis
Najat Akodad,1304,Ensemble,Renaissance,non,13/09/1983,38,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1Z2cYVAjCR6fuRxJQCyyhTW6y3IVwGu1I/view?usp=sharing,,2,Najat Akodad
Cathy Racon-Bouzon,1305,Ensemble,Renaissance,oui,22/11/1976,45,Pas d'autre mandat connu,Cadre supérieure du privé,https://drive.google.com/file/d/1JqXrUr9zUQ9VIZOsbrlL_byX03c73Q-U/view?usp=sharing,,2,Cathy Racon-Bouzon
Saïd Ahamada,1307,Ensemble,Renaissance,oui,07/11/1972,49,Pas d'autre mandat connu,Fonctionnaire de catégorie A,https://drive.google.com/file/d/1olvQPwO02jQqzvyiFjbq274o7INFyVdd/view?usp=sharing,,2,Saïd Ahamada
Jean-Marc Zulesi,1308,Ensemble,Renaissance,oui,06/06/1988,33,Pas d'autre mandat connu,Cadre du secteur privé,https://drive.google.com/file/d/1jtSw0dpB-OerLh4Og3D7miEF1b1Y3nR5/view?usp=sharing,,2,Jean-Marc Zulesi
Véronique Bourcet-Giner,1310,Ensemble,Modem,non,16/03/1964,58,Pas d'autre mandat connu,Médecin généraliste,https://drive.google.com/file/d/1wrbo9inKhq28k6vSYafwJaggXrRnRxsz/view?usp=sharing,,2,Véronique Bourcet-Giner
Mohamed Laqhila,1311,Ensemble,Modem,oui,03/08/1959,62,Pas d'autre mandat connu,Expert-Comptable-Commissaire aux Comptes,https://drive.google.com/file/d/1IDrcyGT_kneLkQSJtvRwlVpWQKuvcUhS/view?usp=sharing,,2,Mohamed Laqhila
Mariana Caillaud,1316,Ensemble,Renaissance,non,16/09/1984,37,Pas d'autre mandat connu,"Chef d'entreprise à Paris, à la tête de Dolipharm",https://drive.google.com/file/d/1DZ8vNwn3BuEausTyFa7yHyf74smeFdzM/view?usp=sharing,,2,Mariana Caillaud
Didier Réault,1306,LR,LR,non,22/12/1967,54,"Vice-président du conseil départemental, de la métropole, conseiller municipal, président du parc national des Calanques",Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1euM1biGNLeA8LOGQc_jbzRDCcvg2J8bT/view?usp=sharing,,3,didierreault
Éric Diard,1312,LR,LR,oui,21/07/1965,56,Pas d'autre mandat connu,Avocat,https://drive.google.com/file/d/1IRHiRywKIoX-sRFGkAhjzUGjgoqWmvN5/view?usp=sharing,,3,ericdiard
Sarah Boualem,1301,LR,LR,non,11/01/1980,42,"Vice-présidente du conseil de Territoire Marseille Provence, adjointe au maire des 11e et 12e",Cheffe de cabinet 13 habitat.,https://drive.google.com/file/d/1dDZs2zHxQnv_sn_Q2NKVyQ6vAU6wKQ52/view?usp=sharing,,3,sarahboualem-aubert
Patrick Pappalardo,1303,LR,LR,non,01/01/1951,71,"Conseiller métropolitain, président d'Habitat Marseille Provence, Conseiller d'arrondissement 9-10",Clerc de notaire puis administrateur de biens,https://drive.google.com/file/d/1DqSVfMHUSWpyYr1nfnCu_w_2qnS46JiM/view?usp=sharing,,3,Patrick Pappalardo
Solange Biaggi,1304,LR,LR,non,19/06/1954,67,Conseillère métropolitaine et municipale,Pharmacienne,https://drive.google.com/file/d/1YKSNAE7yTcle2kZUwZSI7lvtGBAh1Mxp/view?usp=sharing,,3,Solange Biaggi
Michel Boulan,1314,LR,LR,non,02/08/1963,58,"Maire de Châteauneuf-le-Rouge, conseiller métropolitain",Profession libérale,https://drive.google.com/file/d/1ot9FzcWAnK6bYGw-12M2iCIsEaaSFsiY/view?usp=sharing,,3,Michel Boulan
Serge Perottino,1310,LR,Divers droite,non,22/12/1965,56,"Président du conseil de territoire du pays d'Aubagne, maire de Cadolive",Patron d'un groupe local de promotion immobilière,https://drive.google.com/file/d/1zuaqZ-aAi0rjZ7VkuixudhiLD6B40DGd/view?usp=sharing,,3,Serge Perottino
Roland Giberti,1309,LR,LR,non,02/03/1951,71,"Président du conseil de territoire Marseille Provence, maire de Gémenos",Ancien cadre,https://drive.google.com/file/d/1skH17eajO5v5WK9_YfBPT_dOGf6Y-nZv/view?usp=sharing,,3,Roland Giberti
David Ytier,1308,LR,LR,non,05/10/1990,31,"Vice-président de la métropole, adjoint au maire de Salon-de-Provence",Maître de conférence en droit public,https://drive.google.com/file/d/1FV58VVP1GkOu2-9O5BOGP3gorfdNFGxn/view?usp=sharing,,3,David Ytier
Sabine Bernasconi,1302,LR,LR,non,23/11/1970,51,"Vice-présidente du département, conseillère métropolitaine et municipale, ex-maire de secteur du 1/7",Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1VsTnhaX0tbyzeZxxG4lt9Hf5fASJfyC0/view?usp=sharing,,3,Sabine Bernasconi
Maryline Antoine,1305,LR,LR,non,18/12/1966,55,Pas d'autre mandat connu,Artisan,https://drive.google.com/file/d/1Dk4_CgRDmReOZqLm3HTVYaVaAUWwBOaf/view?usp=sharing,,3,Maryline Antoine
Raymond Deleria,1307,LR,UDI,non,11/07/1949,72,Pas d'autre mandat connu,Ancien cadre,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,3,Raymond Deleria
Isabelle Rouby,1313,LR,LR,non,07/11/1971,50,Pas d'autre mandat connu,Fonctionnaire territoriale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view,,3,Isabelle Rouby
Bernard Reynès,1315,LR,LR,oui,18/10/1953,68,Pas d'autre mandat connu,Ancienne profession intermédiaire,https://drive.google.com/file/d/1sxYKzHi0zhcR9C4Y-6m9CBZ2mEr5HaFi/view?usp=sharing,,3,Bernard Reynès
Miloud Boualem,1304,Modem,Modem,non,17/12/1950,71,"président du Modem 13, conseiller d'opposition dans les 1-7",Professions libérales,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view,,3,Miloud Boualem
Emmanuel Taché de la Pagerie,1316,RN,RN,non,20/02/1975,47,Pas d'autre mandat connu,Cadre de la fonction publique,https://drive.google.com/file/d/1E_DN3tNZyNwB9XOUxGR4YBMYnHGBBH0g/view?usp=sharing,,6,emmanueltachedelapagerie
Arezki Selloum,1307,RN,RN,non,11/03/1970,52,Conseiller municipal,Employé civil et agent de service de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,6,Arezki Selloum
José Gonzalez,1310,RN,RN,non,28/04/1943,79,"Conseiller municipal d'Allauch, conseiller régional",Ancien employé,https://drive.google.com/file/d/1ZWAI5kBqjvr1tpASERruag3WOZa1VFvh/view?usp=sharing,,6,José Gonzalez
Romain Baubry,1315,RN,RN,non,28/01/1989,33,conseiller municipal de Sénas,Policiers et militaires,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,6,Romain Baubry
Franck Allisio,1312,RN,RN,non,04/08/1980,41,"Conseiller régional, conseiller métropolitain, conseiller municipal de Marseille",Profession libérale,https://drive.google.com/file/d/1Q6o_PQpGNnjCrVTBphqOLmmt9-3Y9q9A/view?usp=sharing,,6,Franck Allisio
Hervé Fabre-Aubrespy,1311,RN,RN,non,20/07/1956,65,"Conseiller régional, conseiller municipal de Cabriès",Cadres de la fonction publique,https://drive.google.com/file/d/1CQOua1wZfZQ5CkreO8huyuStkApXPeBm/view?usp=sharing,,6,Hervé Fabre-Aubrespy
Emmanuel Fouquart,1313,RN,RN,non,30/07/1966,55,"Conseiller régional, conseiller municipal de Martigues",Anciens cadres,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,6,Emmanuel Fouquart
Gisèle Lelouis,1303,RN,RN,non,10/03/1952,70,Conseillère métropolitaine et municipale,Ancien employé,https://drive.google.com/file/d/1n3VrncP7FiakO4IX_cIpPVnhYAXDgokp/view?usp=sharing,,6,Gisèle Lelouis
Monique Griseti,1301,RN,RN,non,23/07/1960,61,Conseillère municipale 11-12,Commerçante,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,6,Monique Griseti
Emeline Coch,1314,RN,RN,non,25/03/1982,40,conseillère municipale des Pennes-Mirabeau,Employés administratifs d'entreprise,https://drive.google.com/file/d/1clEHjQWHnlm4F8LoHcy34miRjD9fTHKH/view?usp=sharing,,6,Emeline Coch
Clémence Parodi,1302,RN,RN,non,21/10/1958,63,"Conseillère régionale, conseillère des 1/7",Artisan,https://drive.google.com/file/d/18b3yUmyL95qPAIKsEo4hj55b5olfVDlV/view?usp=sharing,,6,Clémence Parodi
Éléonore Bez,1306,RN,RN,non,24/06/1976,45,"Conseillère régionale, métropolitaine et municipale",Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1ZtxpFVqYixjvSiJJ_BL3DR90Nnc2WJVf/view?usp=sharing,,6,Éléonore Bez
Joëlle Mélin,1309,RN,RN,non,26/03/1950,72,"Députée européenne, conseillère municipale",Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,6,Joëlle Mélin
Julien Tellier,1304,RN,RN,non,07/11/1981,40,Pas d'autre mandat connu,"Contremaître, agent de maîtrise",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,6,Julien Tellier
Sandrine Lambert,1305,RN,RN,non,25/05/1991,30,Pas d'autre mandat connu,Technicien,https://drive.google.com/file/d/1u4s80_l5_xQ5JYBAYz9OIAvr6v2ouHMm/view?usp=sharing,,6,Sandrine Lambert
Romain Tonussi,1308,RN,RN,non,09/04/1996,26,Pas d'autre mandat connu,Profession intermédiaire administrative de la fonction publique,https://drive.google.com/file/d/1OXeRBAcnboLLLgWpTzD7irqglIQWyOWa/view?usp=sharing,,6,Romain Tonussi
Sandrine D'angio,1303,Reconquête,Reconquête,non,18/12/1981,40,"Conseillère régionale, conseillère municipale de Marseille",Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1N8oe3mU5iB-Oz8dx2QAAAefNv-owVteK/view?usp=sharing,,7,Sandrine D'angio
Danièle Pécout,1307,LO,Lutte ouvrière,non,25/10/1950,71,Pas d'autre mandat connu,Employée de banque,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,danièlemireilleluciennepécout
Élodie Virzi,1311,SE,SE,non,03/01/1985,37,Pas d'autre mandat connu,Employé administratif d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,elodievirzi
Corinne Morel,1306,LO,Lutte ouvrière,non,12/01/1961,61,Pas d'autre mandat connu,Employée de banque,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,véroniquecatherinecorinnemorel
Kaouther Ben Mohamed,1304,Divers gauche,Divers gauche,non,07/06/1977,44,Pas d'autre mandat connu,"Profession de l'information, des arts et des spectacles",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Kaouther Ben Mohamed
Victor Gioia,1301,DVD,Divers droite,non,21/12/1967,54,Pas d'autre mandat connu,Avocat,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view,,,Victor Gioia
Giovanni Schipani,1309,DVD,Divers droite,non,02/08/1990,31,Pas d'autre mandat connu,Cadre administratif et commercial d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Giovanni Schipani
Sophia Hocini,1306,DVG,Fédération de la gauche républicaine,non,23/03/1993,29,Pas d'autre mandat connu,Chargée de mission territoires Info Jeunes France.,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view,,,Sophia Hocini
Joël-Pierre Chevreux,1313,ECO,Mouvement homme animaux nature,non,01/07/1955,66,président du MHAN,"Profession de l'information, des arts et des spectacles",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Joël-Pierre Chevreux
Bruno Cocaign,1303,ECO,ECO,non,21/05/1954,68,Pas d'autre mandat connu,Profession intermédiaire de la santé et du travail social,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Bruno Cocaign
Christian Monferrini,1305,ECO,Divers écologistes,non,04/06/1959,62,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view,,,Christian Monferrini
Valérie Laupies,1316,EXD,Les Patriotes,non,08/02/1966,56,"ex conseillère municipale d'opposition de Tarascon, conseillère régionale",Directrice d'école,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Valérie Laupies
Marc Cecone,1301,LO,Lutte ouvrière,non,09/02/1958,64,Pas d'autre mandat connu,Electromécanicien,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Marc Cecone
Brigitte Espaze,1302,LO,Lutte ouvrière,non,10/02/1957,65,Pas d'autre mandat connu,Employée de banque,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Brigitte Espaze
Jacqueline Grandel,1303,LO,Lutte ouvrière,non,16/03/1953,69,Pas d'autre mandat connu,Commerciale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Jacqueline Grandel
Isabelle Bonnet,1304,LO,Lutte ouvrière,non,25/06/1965,56,Pas d'autre mandat connu,Enseignante,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Isabelle Bonnet
Nathalie Malhole,1305,LO,Lutte ouvrière,non,17/06/1963,58,Pas d'autre mandat connu,Secrétaire médicale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Nathalie Malhole
Rémy Bazzali,1308,LO,Lutte ouvrière,non,20/10/1974,47,Pas d'autre mandat connu,Ouvrier de l’aéronautique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Rémy Bazzali
François Otchakovsky,1309,LO,Lutte ouvrière,non,01/04/1972,50,Pas d'autre mandat connu,Enseignant,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,François Otchakovsky
Jean-Claude Valiente,1310,LO,Lutte ouvrière,non,26/04/1957,65,Pas d'autre mandat connu,Enseignant,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Jean-Claude Valiente
Charlotte Maria,1311,LO,Lutte ouvrière,non,09/06/1981,40,Pas d'autre mandat connu,Enseignant,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Charlotte Maria
François Roche,1312,LO,Lutte ouvrière,non,23/05/1965,57,Pas d'autre mandat connu,Ouvrier de l’aéronautique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,François Roche
Cyril Métral,1313,LO,Lutte ouvrière,non,25/06/1979,42,Pas d'autre mandat connu,Ouvrier de l’aéronautique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Cyril Métral
Anne Roche,1314,LO,Lutte ouvrière,non,10/12/1938,83,Pas d'autre mandat connu,Universitaire,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Anne Roche
Anne Testut,1315,LO,Lutte ouvrière,non,14/11/1966,55,Pas d'autre mandat connu,Employée,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Anne Testut
Guy Dubost,1316,LO,Lutte ouvrière,non,30/12/1953,68,Pas d'autre mandat connu,Ouvrier métallurgiste,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Guy Dubost
Sylvie Pasquini,1316,NPA,NPA,non,22/02/1979,43,Pas d'autre mandat connu,Employé civil et agent de service de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Sylvie Pasquini
Nora Belkaroui,1303,Oui la Provence,Oui la Provence,non,05/02/1978,44,Pas d'autre mandat connu,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Nora Belkaroui
Jean Reynaud,1309,Oui la Provence,Oui la Provence,non,20/04/1947,75,Pas d'autre mandat connu,Ancien cadre,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Jean Reynaud
Régis Delalande,1311,Oui la Provence,Oui la Provence,non,05/02/1962,60,Pas d'autre mandat connu,Cadre administratif et commercial d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Régis Delalande
Cédric Long,1314,Oui la Provence,Partit occitan,non,22/08/1981,40,Pas d'autre mandat connu,Militaire du contingent,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Cédric Long
Flora Jabes,1301,Parti animaliste,Parti animaliste,non,11/01/1990,32,Pas d'autre mandat connu,Employé administratif d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Flora Jabes
Florence Denneval,1302,Parti animaliste,Parti animaliste,non,03/05/1982,40,Pas d'autre mandat connu,Employé civil et agent de service de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Florence Denneval
Adam Tordjmann,1303,Parti animaliste,Parti animaliste,non,20/02/1986,36,Pas d'autre mandat connu,Chef d'entreprise de 10 salariés ou plus,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Adam Tordjmann
Mathilde Heuguet,1304,Parti animaliste,Parti animaliste,non,13/09/1983,38,Pas d'autre mandat connu,Cadre administratif et commercial d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Mathilde Heuguet
